,latent_mean_0,latent_mean_1,latent_mean_2,latent_logvar_0,latent_logvar_1,latent_logvar_2,Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i}
117,1.183042,-1.2980001,-1.4249557,-0.6248572,-2.3002305,-1.9394093,2.491836,-1.3080897,-1.3080307
118,0.4971015,-0.37763283,-1.4132255,-1.0520213,-2.1178412,-2.1106305,0.049019843,0.011785597,-1.6694922
119,1.3684978,-1.558569,-1.2411472,-2.0133758,-1.2784936,-1.9082451,1.5631307,-1.0165471,-1.3113927
120,0.5347697,2.6870766,-2.842123,-0.5993626,0.9757091,-1.0079942,0.23321152,1.2955346,-3.7730923
121,-0.4795473,2.6176121,-1.2981844,-1.0187963,-1.0183854,-1.8817453,0.35911933,2.8446655,-1.027432
122,1.5707169,-1.5843694,-0.6355741,-1.4007258,-1.5643052,-2.0951962,1.7042614,-1.8377173,-0.9194803
123,1.4073851,3.402879,-2.129523,-0.49585629,-0.23102915,-1.385873,2.4042664,3.696436,-2.4819825
124,-0.7710217,-1.259089,0.21208689,-1.6437501,-2.356044,-2.9346912,-0.5559654,-1.5527917,0.18556014
125,0.48084027,-1.8254342,-0.9790579,-0.92625284,-2.3621562,-2.1427255,0.65630794,-1.7118268,-0.98435736
126,-0.7861721,2.1572254,-0.99167454,-1.2179196,-0.38080138,-2.0623965,-0.9479619,3.026371,-0.86012006
127,0.1908359,2.6688018,-1.2316347,-1.0521054,-0.77873886,-1.8762383,-0.64911664,3.0568252,-1.0196224
128,1.152643,-1.6184652,-1.7066098,-0.7281127,-0.602533,-1.5647967,1.4500997,-1.7510616,-1.8899992
129,-1.9046283,0.18208331,-2.8109274,-0.48112565,-0.1583972,-1.168106,-1.0055058,-0.30972534,-2.9320135
130,-2.2692468,-1.9485621,-1.8655881,-4.4831924,-3.0900526,-2.4846723,-2.21088,-1.9364567,-1.8504092
131,1.4730988,0.9563692,-1.5976242,-1.0342559,-1.5827231,-1.8096478,1.0505584,1.2833726,-1.3236897
132,-1.9677687,2.3372116,-2.2368627,-3.164997,-2.0545454,-2.3455415,-1.5250537,2.503712,-2.602136
133,-0.6345257,-0.6107903,0.3050967,-1.5135384,-1.6679089,-2.8565867,-1.0061078,-0.42788684,0.070637465
134,0.5558434,-0.5670381,0.8127264,-1.8827015,-1.631378,-3.0159369,0.3516901,0.24837029,0.8637645
135,0.7110773,1.7592638,-2.6138525,-0.1651119,-0.055119395,-1.0380837,0.09598774,-0.7459457,-2.2116163
136,-0.93633705,0.99852306,-0.2862377,-1.3581942,-1.6029017,-2.5241113,-0.674482,1.1617306,0.16067237
137,-2.8013527,5.9038806,-3.5720453,-3.030881,-1.2730843,-2.4963598,-2.9002573,5.37704,-3.358544
138,-0.7593887,0.8375334,-1.9467167,-0.69429797,-1.0336787,-1.623497,-1.4544144,1.6809359,-2.2118332
139,-1.2262901,3.4131923,-2.7245913,-0.5519117,-0.042203665,-1.624257,-1.5457412,3.619234,-2.014813
140,-0.17209911,-1.2736278,-1.2803808,-0.97047967,-2.3949547,-2.0251982,0.13098085,-1.5373764,-0.968006
141,-0.6470078,-0.0612576,-2.6955442,0.053008318,-0.32540846,-1.1526772,0.9122846,-0.2685837,-1.6788477
