,latent_mean_0,latent_logvar_0,Gaussian_latent_var_feature_{i}
285,-1.5639222,-1.6037616,-1.1683015
286,0.9176785,-6.335172,0.8735289
287,-1.1054078,-1.8844217,-1.4703457
288,-0.35698748,-2.534505,-0.15233111
289,0.32780802,-3.6835394,0.47296256
290,-0.24272561,-3.0764322,-0.13593385
291,0.5015838,-4.3647695,0.44574565
292,1.0225506,-6.853154,1.0043454
293,-0.46890092,-2.3717027,-0.70696175
294,0.21410027,-3.8826346,0.33572012
295,-0.36410415,-2.8175707,-0.8455081
296,0.44389832,-5.4188757,0.42986363
297,0.7039379,-5.6708293,0.68397915
298,-0.36848915,-2.2818198,-0.8833424
299,-1.3135073,-1.7375816,-1.873278
300,-0.1569553,-2.5439897,-0.01181972
301,-0.7893506,-2.063354,-0.8325515
302,0.72060776,-5.5784945,0.8333112
303,0.05722478,-3.2730722,0.19659856
304,-0.33482793,-2.5025802,-0.61977744
305,-1.0886637,-1.8521188,-0.35902703
306,-0.9271507,-1.851132,-0.37384284
307,-0.41862428,-2.4011192,-0.3520692
308,-0.54620576,-2.0536876,-0.68174624
309,-1.1960286,-1.8792928,-1.8230257
310,-1.5272404,-1.6459907,-0.9359933
311,0.255812,-3.6392078,0.2045907
312,-0.6166471,-2.4109015,-0.791752
313,-0.42036808,-2.6007862,-0.57642365
314,0.15229991,-2.7479181,0.22517544
315,-0.64228475,-1.8718904,-0.628042
316,0.3912722,-5.070305,0.40215567
317,0.772038,-4.9796386,0.6771013
318,-0.68125606,-1.9945191,-0.3656785
319,-0.07927552,-3.725121,-0.14595556
320,0.38464397,-5.3253875,0.42964396
321,0.96964574,-5.6798654,1.0121697
322,-1.4379995,-1.7270731,-1.5553443
323,-0.4031253,-2.932569,-0.5014577
324,-1.6190661,-1.5487517,-1.3794866
325,-0.10422349,-2.6290517,-0.3392044
326,0.12987092,-3.1009507,0.036613204
327,-1.474165,-1.627725,-1.2263874
328,0.32781023,-3.9439912,0.36891338
329,0.02229631,-3.0506415,-0.18670736
330,-0.08171572,-2.6392932,0.53109694
331,0.32478723,-3.6469169,0.32789132
332,1.8536733,-5.6606836,1.8803688
333,-0.42230523,-2.2911787,-0.6580866
334,-0.097336024,-2.9423766,-0.46824864
335,-0.052267075,-3.1062832,0.06885075
336,1.4369242,-5.5326047,1.5327325
337,-0.20734546,-2.9571657,-0.4165088
338,0.369797,-4.251758,0.46331924
339,-0.37405825,-2.5296187,-0.1516305
340,-0.40316206,-2.488193,-0.82705057
341,-0.79357034,-1.8198913,-0.8154041
342,-0.19246924,-2.3836083,0.1650894
343,0.33020478,-4.2208843,0.36170232
344,1.7226557,-10.831674,1.7229
345,0.016149059,-3.9624395,0.13491708
346,0.3342034,-3.142743,0.120157704
347,-0.6317166,-2.3695211,-0.46709326
348,0.72101116,-5.500547,0.68565196
349,-0.122909844,-3.315363,-0.16405065
350,0.57379663,-4.633281,0.76614285
351,-0.23188111,-2.9665112,0.2675554
352,-0.89171195,-1.8755027,-0.6952803
353,-0.93518794,-1.9436942,-1.0330163
354,-1.3186377,-1.7512697,-1.7134402
355,-0.5625651,-2.5139546,-0.33298552
356,0.77837694,-4.582649,0.5786599
357,-1.8312168,-1.4513677,-0.99408937
358,0.51620436,-4.7671127,0.59180737
359,0.8902455,-5.2627926,0.9414211
360,0.37793183,-3.9950018,0.2421772
361,0.22845468,-5.237968,0.28829458
362,0.31541914,-4.1494317,0.35950077
363,-0.60466635,-2.2719464,-0.34763798
364,-0.31653404,-2.3038497,-0.55901897
365,0.06787926,-3.1418943,0.023669794
366,-1.1529973,-1.7613415,-0.72557634
367,-0.17463672,-2.257794,-0.80273974
368,-0.78402287,-1.973775,-0.46328512
369,-0.7743125,-2.0046878,-0.61069214
370,0.08601011,-3.7287097,0.06595245
371,1.4956069,-4.915579,1.53039
372,-0.38401932,-2.005375,-0.01788053
373,-0.6041645,-2.1626506,-0.78259826
374,-0.5031915,-2.8066478,-0.88983345
375,0.69879246,-4.8172107,0.7495857
376,0.2196883,-3.0744047,0.37412548
377,0.6487167,-4.562756,0.4510321
378,0.34777212,-3.4882827,0.41306767
379,0.98072827,-6.049522,0.94893205
380,-0.26105282,-2.2920551,0.13849875
381,1.2224553,-6.128106,1.2296413
382,-0.35875928,-2.5471497,-0.14864846
383,0.7534378,-5.0652976,0.8989019
384,-0.12973493,-3.3615804,-0.23024222
385,1.3071772,-7.4340396,1.317954
386,-0.018647522,-3.2425933,0.37083653
387,1.0709305,-7.3683467,1.0505624
388,-1.363249,-1.6214322,-1.6062099
389,0.5858829,-4.062962,0.7133895
390,-0.7595575,-1.9719225,-0.6452131
391,-0.9299147,-1.8655292,-1.1269684
392,0.42494863,-5.3682795,0.33905274
393,-0.11812675,-3.055449,-0.3045499
394,0.7919783,-4.5123105,0.9000564
395,0.36088073,-3.7932696,0.38270408
396,0.8733051,-4.2970552,0.99531305
397,0.97779727,-4.9477687,0.9503102
398,-0.5888214,-2.050127,-0.8607422
399,-0.53068984,-2.748166,-0.38843474
400,0.06347853,-3.4212399,0.06748518
401,0.5317168,-3.937202,0.6478237
402,-0.047516108,-3.024684,0.16123505
403,-1.1519681,-1.8558043,-1.026068
404,1.2581702,-6.0362287,1.2452372
405,0.7000069,-6.3956237,0.70028174
406,-0.34670728,-2.850412,-0.12794006
407,0.66818094,-4.7807584,0.71895236
408,0.79434276,-4.21072,0.89506465
409,0.3752671,-5.083386,0.34546942
410,-0.43424165,-2.3851695,-1.0788298
411,0.3626377,-4.3962293,0.20774437
412,-1.1956934,-1.7686459,-1.7975881
413,0.37381113,-5.0312896,0.4159178
414,0.33624414,-3.8153267,0.23544797
415,-0.6016408,-2.112897,-0.7032564
416,-0.7033175,-2.0895467,-0.7547861
417,0.20584956,-2.7868733,0.56023836
418,0.4662206,-3.9262037,0.58566344
419,-1.1572589,-1.7307001,-0.58375335
420,0.72068304,-5.34097,0.6131268
421,-1.17757,-1.7634593,-1.0405848
422,-0.80782586,-1.9771084,-0.95960736
423,-0.2423408,-2.864338,0.07638407
424,1.0208919,-6.561033,0.94496167
425,0.4828506,-4.2572865,0.55077064
426,0.9800491,-5.405535,1.014817
427,0.3569675,-4.5063276,0.17428043
428,-0.78507495,-1.9324771,-0.7989417
429,-0.0740014,-3.539434,-0.099107
430,-0.424775,-2.466241,-0.2830869
431,0.33953482,-5.0573144,0.32530373
432,-1.593222,-1.5656756,-1.9299548
433,-1.0248563,-1.7080973,-1.8109975
434,-0.97711265,-1.9417328,-0.76536876
435,-0.532098,-2.1635451,-0.1493676
436,-0.25317124,-2.4163656,-0.35336208
437,0.025052667,-2.8699155,-0.13495007
438,-1.0166475,-1.9788231,-0.7269676
439,-1.2954258,-1.816069,-1.1705986
440,0.3470428,-3.5597534,0.35216194
441,0.2561442,-4.1359906,0.24306124
442,0.46916533,-5.284014,0.5249694
443,-0.36613166,-2.6185446,-0.73594165
444,0.25884426,-3.493053,0.24889652
445,-0.44438225,-1.9891847,-0.58517563
446,0.3456806,-3.3603525,0.42138302
447,0.90805984,-5.9743786,0.94306546
448,0.91308486,-5.6085415,0.9125004
449,-1.2158076,-1.7339877,-1.4235777
450,-1.9069396,-1.3998097,-1.9933549
451,-0.9001728,-1.7600738,-1.5859365
452,0.7046957,-3.9899263,0.5908115
453,-0.20473766,-2.986195,-0.19453761
454,-0.45514816,-2.66568,-0.30448496
455,0.25733158,-4.0932455,0.14206167
456,1.3999852,-6.001407,1.2823766
457,0.31364626,-3.4133568,0.29125568
458,-0.1511957,-2.5345435,-0.41713965
459,0.30296016,-4.9992332,0.147527
460,0.24227852,-3.8051038,0.4250388
461,0.44800067,-4.034803,0.53363353
462,0.45826423,-5.2516503,0.48484886
