,latent_mean_0,latent_mean_1,latent_mean_2,latent_mean_3,latent_mean_4,latent_mean_5,latent_mean_6,latent_mean_7,latent_mean_8,latent_mean_9,latent_logvar_0,latent_logvar_1,latent_logvar_2,latent_logvar_3,latent_logvar_4,latent_logvar_5,latent_logvar_6,latent_logvar_7,latent_logvar_8,latent_logvar_9,Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i}
30,-0.06467677,0.036552243,-0.015031657,0.0071002264,-0.9554112,0.055320017,0.07697627,0.035125166,2.501656,-0.075589284,-0.01745924,0.010392587,0.016090235,-0.0033145752,-1.9952474,-0.025173727,-2.6234539,0.01932945,-1.5722225,0.01985528,0.54020303,-0.990336,-0.53337735,-1.0741267,-0.3799637,1.428591,0.588418,0.044403333,2.7006776,-1.3454741
31,-0.070835166,0.004192787,0.0015722206,-0.06580371,-1.5574126,0.02868782,0.4942189,0.0016951561,0.44553643,-0.018186191,-0.05267025,0.0029858407,0.00451136,0.007852977,-0.6389414,-0.027070407,-2.1436396,-0.004950274,-1.4018211,-0.038740188,0.08463534,-0.8474624,0.13632905,-1.0457771,-1.1522702,0.23248236,0.893746,-0.15867543,0.7296557,0.30843854
32,-0.05669945,0.012787519,-0.011203681,-0.017153796,-0.8559126,0.048688103,0.36329755,0.024733428,1.5170641,-0.05863871,-0.012399417,0.010134255,0.020120077,-0.0001312159,-1.445807,-0.010276431,-2.465613,0.018081643,-1.7034138,0.009597188,0.8893837,0.35674253,-0.24635155,0.69368774,-1.2794912,1.2656353,0.29750502,2.6765974,0.7831801,-0.082366474
33,-0.062036727,0.030397601,0.031972658,-0.09510395,-2.3937953,0.052112535,1.0765698,-0.015966536,-1.3323584,0.0054895207,-0.0345014,0.013854951,0.024712125,0.023757247,-1.4247223,-0.03014921,-1.7985674,0.042024717,-0.78472036,-0.071997605,0.40543413,-1.4212584,0.42052546,-0.5696291,-1.7504938,0.16563854,1.2234759,0.03886602,-1.9311689,-0.29426673
34,-0.09197187,0.025522284,-0.011522857,-0.10608574,-1.6593392,0.02908878,-0.121476114,0.01174831,0.024106145,-0.011156634,-0.0903037,0.0121360235,0.01650104,0.015338192,-0.46861565,-0.081161246,-2.7105405,0.02636683,-1.506279,-0.064275086,0.8771744,2.4518714,0.6318493,-0.977699,-1.8683062,-0.73914444,0.1700603,0.97298217,-0.19710958,0.97502756
35,-0.078692704,0.0058136964,0.016025385,-0.077137746,-2.0802917,0.03342307,-0.6885102,0.020603288,-0.068106174,-0.04280046,-0.037238628,0.00960504,0.009372534,0.007627776,-1.3474283,-0.06342802,-3.0349455,0.027857024,-1.7380164,-0.035108916,0.9506413,-0.4108739,0.8546367,-0.17679721,-1.9655591,0.6301485,-0.65922606,0.50818396,-0.7010658,-0.2114751
36,-0.039083377,0.0625093,0.0040013213,-0.010865919,1.6109173,0.041735053,0.2586683,0.031823877,0.18744868,-0.008740376,-0.013174139,0.008305873,-0.056162257,-0.00044894405,-1.0737075,-0.01634492,-2.4856558,0.03529835,-1.3589816,0.042213913,-0.8057008,0.45422176,-0.27326483,0.88434196,1.7706273,-0.3186833,0.33086276,-3.0370674,0.711259,-1.3249861
37,-0.03115924,5.5462588e-05,0.010031302,-0.058415137,1.035392,0.04840433,-0.5308872,0.017980773,-1.631573,0.0037449263,-0.03856075,-0.02692322,-0.029399643,-0.020561716,-2.5341182,0.017266182,-3.2449362,0.02378184,-2.7463102,-0.023964953,-0.45145664,-1.2233858,-0.02739393,1.1510735,1.4540812,0.2835989,-0.8555553,0.5490292,-1.0214252,-1.2312293
38,-0.035201862,0.05039372,0.00489493,-0.018470578,1.3828549,0.035446927,-0.09179169,0.03196016,-0.1553706,-0.011479729,-0.020197047,0.013998315,-0.052840866,-0.003824111,-0.88201153,-0.0183418,-2.738844,0.042160876,-1.535968,0.02645813,-1.1882077,-0.5946358,0.93151194,-1.1950012,1.2911807,1.9809111,-0.05707605,0.6654824,-0.8377665,-1.321401
39,-0.05365087,0.022149747,0.01215331,-0.013628436,-0.9475231,0.025875399,0.551595,0.015099862,1.0263913,-0.03253352,-0.0073692948,0.011473365,0.012591062,0.0018814895,-1.6038837,-0.0020901794,-2.1865988,-0.0016935915,-1.0875776,-0.0028086212,-1.6586715,-0.06867443,1.1503372,-0.060891576,-1.0748684,1.5668846,0.28357777,1.2647991,0.87995374,0.27764097
