,latent_mean_0,latent_mean_1,latent_logvar_0,latent_logvar_1,Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i}
124,0.8762778,-0.7994878,-2.3027458,-3.2926357,1.2309834,-0.7236534
125,-0.25612354,-0.30973038,-2.0187771,-3.084076,-0.16894084,-0.54798186
126,0.7357236,-1.1889608,-2.1820524,-3.880412,0.75604546,-1.0886236
127,0.34346431,0.22189388,-1.6560767,-2.5472274,-0.026043177,0.2821864
128,0.92755926,-0.40263054,-1.7913065,-2.859458,0.7570014,-0.4543046
129,0.07909763,0.9876822,-1.2258372,-1.9961336,-0.52440983,0.86928606
130,1.1893617,0.16227877,-1.6805291,-2.6299682,1.6145138,0.23934785
131,1.0129956,0.15755597,-1.6230499,-2.9666338,1.4929426,-0.13272408
132,0.051804006,0.46584406,-1.328747,-2.3859556,-0.5467745,0.873623
133,-0.57589865,-0.6354718,-1.7387726,-3.1550977,-0.39843678,-0.56851494
134,-4.813515,1.9501861,-3.2313104,-0.89206314,-4.811448,1.9156537
135,0.2763579,0.45182922,-1.3556043,-2.5024283,0.20880541,0.71784043
136,0.5102874,0.10699502,-1.4164324,-2.5183556,-0.07261139,0.263474
137,-1.3212081,0.2505577,-1.2930422,-2.4958644,-1.5830275,0.59344435
138,1.0452877,0.9618826,-1.3281195,-2.0959687,1.520075,1.0796925
139,-1.0785189,0.072721094,-1.3256547,-2.6269226,-0.2714551,-0.2853717
140,0.9258294,-0.4580204,-1.954354,-2.962555,1.0100555,0.011284381
141,0.8061203,-1.3930256,-1.9901174,-3.335301,1.3022472,-1.8458027
142,-1.0257347,-0.1177448,-1.4604617,-2.8444471,-1.3236268,-0.49873564
143,2.53028,0.7018192,-1.82068,-2.3872519,2.395659,0.5496265
144,0.4752624,0.0309785,-1.5496632,-2.5941234,0.6413021,-0.010484923
145,-0.4902802,0.58732665,-1.2205954,-2.4809744,-0.5462938,0.85989255
146,-1.4347329,-0.3941548,-2.0629323,-3.3440018,-1.7768931,-0.34477407
147,0.724738,0.2453408,-1.3317115,-2.4990022,0.5125963,0.036027834
148,1.0134947,0.4951987,-1.5666137,-2.353345,1.3526169,0.40940928
149,-0.29302734,0.944093,-1.1669877,-2.0548341,-1.1035261,0.8177455
150,1.164243,0.13479424,-1.6260661,-2.6234257,1.4575734,0.31818235
151,0.1638307,1.2342905,-1.173554,-1.9329655,0.594365,1.05129
152,-0.50370324,-0.13618931,-1.918308,-2.9951677,-0.47869796,-0.15718184
153,-1.6136405,-0.7048695,-1.9533676,-3.3703403,-0.9513093,-0.40915436
154,0.8294064,0.37007007,-1.3986232,-2.505363,0.17850721,0.5733946
155,0.82859194,0.17345056,-1.5173186,-2.6123486,0.7151753,-0.13262576
156,-1.8579417,-0.32431245,-1.7905496,-3.2393024,-2.1452684,-0.3877422
157,1.2495927,-0.35038805,-1.990254,-2.8864799,1.2879363,0.17886776
158,0.027224064,-0.27260572,-1.9700619,-2.976877,0.25562328,-0.22758807
159,0.6265162,0.69435537,-1.456434,-2.4648767,1.0424863,0.21520022
160,-2.0506587,0.9819633,-2.0579336,-1.9061747,-1.9171999,1.1565555
161,-0.93559396,-0.59784114,-1.844199,-3.2329826,-1.5897567,-0.54321283
162,0.58418536,-0.63466567,-2.1525836,-3.1606233,1.3451529,-0.5493857
163,-1.0606868,-0.23931187,-1.5109326,-2.8988547,-1.1737949,-0.15585156
164,0.2183299,-0.08505446,-1.496593,-3.0427096,0.44742382,0.12712266
